id,name,location,lead,second,third,fourth,alternate,coach
100442,Bruce,Cornwall CC,Nate MacRae,Luke Butler,Connor MacEwen,Connor Bruce,,Dennis Watts
192392,Brunner,"Bern, SUI",Andreas Gerlach,Romano Keller-Meier,Anthony Petoud,Michael Brunner,,Patrik Lortscher
192463,Bryce,"Kinross, SCO",Robin McCall,Scott Hyslop,Duncan Menzies,Cameron Bryce,Karsten Sturmay,
100006,Bryden,"Regina, SK",Ayden Whittmire,Carter Williamson,Adam Bukurak,Josh Bryden,,
100006,Bryden,"Regina, SK",Chris Semenchuck,Russ Bryden,Troy Robinson,Randy Bryden,,
192347,Buraas,"Lillehammer, NOR",Harald Daehlin,Magnus Lilleboe,Magnus Nedregotten,Grunde Buraas,,Kai Ove Roenning
193247,Burgess,"Thunder Bay, NO",Aaron Rogalski,Dale Wiersema,Gary Weiss,Bryan Burgess,,
100278,Burgess,"Rimouski, QC",Kevin Gravel,Marc-Andre Marcil,Richard Cyr,Peter Burgess,Pierre Jean,
100352,Burnett,Morden CC,Joey Mutcheson,Kevin Rach,Graham Lone,Tom Burnett,,
100191,Burton,MB,Callum Smith,Myles Legadi,Tiernan Bertrand-Meadows,Liam Burton,,
100191,Byrd,"Thunder Bay, NO",Justin McCarville,Chris Silver,Kristofer Leupen,Kurtis Byrd,,
100090,Cabral de Mello,BRA,Filipe Nunes,Nuno Rodrigues,Marcio Dias Santos Rodrigues,Marcelo Cabral de Mello,,
100130,Caie,"Bayonne, FRA",Philippe Therias,Stephane Kong,Christian Tourrette,Michel Caie,,
100305,Cain,"Fredericton, NB",Mike Flannery Jr,Trevor Crouse,Christopher McCann,Ryan Cain,,
192835,Calvert,"Winnipeg, MB",Brendan Bilawka,Kyle Kurz,Corey Chambers,Braden Calvert,,
100232,Campbell,"Tempe, AZ",Matt O'Brien,Jeff Kunkel,Josh Bernstein,Darren Campbell,,
195272,Campbell,MB,Rylan Graham,Carter Malmquist,Logan Zacharias,Rylan Campbell,,
193633,Carlson,"Minneapolis, MN",Andrew Picard,Taylor Pendleton,Nicholas Cenzalli,Aaron Carlson,,
100125,Carpenter,"Richmond, BC",,Matthew Duizer,Erik Colwell,Brayden Carpenter,,
100402,Carrier,"Noranda, QC",Danny Burbridge,Yvan Desrochers,Guy Grignon,Jean Carrier,,
192422,Carruthers,"Winnipeg, MB",Connor Njegovan,Catlin Schneider,B.J. Neufeld,Reid Carruthers,,
192311,Carson,"Dumfries, SCO",Charlie Gibb,Archie Hyslop,Logan Carson,Orrin Carson,,Alan Hannah
100007,Carss,"Saskatoon, SK",Lyndon Holm,Jared Tessier,James Hom,Michael Carss,,
100488,Casagrande,"Cembra, ITA",Davide Moser,Elia Nichelatti,Paolo Bernardi,Daniele Casagrande,,
100344,Casey,Burntwood CC,Kyle Cooper,Aaron Watt,Bryan Todoruk,Grant Casey,Cole Bohonos,
192088,Casper,"Chaska, MN",Aidan Oldenburg,Ben Richardson,Luc Violette,Danny Casper,,
192415,Champ,"Toronto, ON",Travis Ackroyd,Stuart Leslie,Ben Bevan,Alex Champ,,
100278,Chandler,"Little Current, NO",Jim Bickell,Ron McQuarrie,Kyle Chandler,Jordan Chandler,,
100090,Chang,HKG,Ronnie Ma,Cheuk Hei Chung,Ching Nam Cheng,Jason Chang,King Yu,Nathan Small
195359,Channon,"Edmonton, AB",Mathew Reiniger,Preston Russell,Austin Hennig,Kieran Channon,,
100234,Chen,TPE,Chih-Ying Hsu,Hui-En Lin,Hui-Lun Jin,Shou-Yi Chen,Yu-Hang Chang,Ling-Zhi Li
100245,Church,"Nashua, NH",Ryan Trout,Lucas Berube,DJ Neill,Ryan Church,,
192983,Claeys,"Surrey, BC",Nathan Silva,Trevor Ritchie,Cody Claeys,Branden Reimer,,
194732,Cloutier,"Gatineau, QC",Nick Chasse,Marc Malette,Allison Brageul-Gradiski,Guy Cloutier,,
100336,Coady,"St. John's, NL",Jeremy Babstock,James Efford,Mitchell Ryall,Barry Coady,,
100353,Coady,Wiarton CC,Alex Judges,Rob Thomas,Mike Coady,Matthew Coady,Jacob Allwood,
192895,Colli,"Trentino, ITA",Fabio Ribotta,Francesco De Zanna,Giacomo Colli,Alberto Zisa,,
191786,Collins,AUS,Andew Gaff,Brad Scott,Brad Patterson,Andrew Collins,,
100488,Colman,"Claut, ITA",Marco Lecinni,Manuel Filipputti,Samuele De Ciacinto,Marco Colman,Mauro Colman,
100028,Colter,"Moncton, NB",Michael Donovan,Alex Peasley,Jack Smeltzer,Travis Colter,,
100125,Cotter,"Vernon, BC",Brad Wood,Tim March,Connor Deane,Jim Cotter,,
100386,Courteau,QC,Samyca Charbonneau,Dany Beaudoin,Jeremie Marcil-Blais,Vincent Courteau,,
100342,Craig,Duncan CC,Chris Atchison,Keith Clarke,Normand Cote,Wes Craig,,
192207,Craik,"Forfar, SCO",Rory Macnair,Jake MacDonald,Fraser Swanston,James Craik,,
100106,Crepault,"Val d'Or, QC",Patrice Gilbert,Yanick Letourneau,Serge Boulanger,Bruno Crepault,,
100342,Croteau,Victoria CC,,Timothy Henderson,Dawson Wikkerink,Connar Croteau,,
100342,Cuddie,Royal City CC,Justin Sim,Brendan Acorn,Mitch Young,Russell Cuddie,,
100099,Cudmore,"Sault Ste. Marie, NO",Travis Semczyszyn,Mark Stefanizzi,Bob Hammerstedt,Clint Cudmore,,
100442,Curtis,Port Arthur CC,Kain Cristofaro,Owen Weiss,Warren Stroud,Jacob Curtis,,Gary Weiss
100038,Cyclops,JPN,Ouji Maeda,Kagetora Kawahira,Harunobu Hawahira,Tsubasa Nakagawa,,
100403,Dale,NOR,Erland Snoeve,Anders Mjoeen,Emil Storli,Markus Dale,Jonathan Saeteren,Stein Mellemseter
100292,Dalhousie,"Halifax, NS",Alan Fawcett,Caelan McPherson,Owen McPherson,Nick Mosher,Aidan MacDonald,
100405,Dalhousie Tigers,Halifax CC,Aidan MacDonald,Alan Fawcett,Caelan McPherson,Owen McPherson,Tyler McMullen,Danny Christianson
193001,Dangerfield,"Victoria, BC",Glen Allen,Darren Boden,Mike Wood,Neil Dangerfield,,
100386,DaPrato,QC,Michel Cadieux,Sylvain Poirier,Luc Chamberlain,Claude DaPrato,,
191923,Davies,"Edmonton, AB",Adam Naugler,Will Butler,Ronan Peterson,Zach Davies,,Rob Krepps
192490,de Jong,"Victoria, BC",Corey Chester,Alex Horvath,Sterling Middleton,Cameron de Jong,,Paul Cseke
100032,Deagle,"Sydney, NS",Mark MacNamara,Jason van Vonderen,Travis Stone,Nicholas Deagle,Rob Phillips,
193051,deConinck Smith,"Fox Valley, SK",Kalin Deis,Dustin Mikush,Ryan Deis,Carl deConinck Smith,,
195101,Derksen,"Saskatoon, SK",Gavin Martens,Tyler Derksen,Logan Sawicki,Dylan Derksen,,
100106,Dicaire,Bel-Aire CC,Rene Racicot,Alexis Vezeau,Josee Bedard,Sylvain Dicaire,,
194903,Dick,"Winnipeg, MB",Terry Ettawacappo,Cadin Dupasquier,Billy-Joe Dick,Richard Dick,Sean Perkins,
193016,Dilello,"St. John's, NL",Aaron Feltham,Daniel Bruce,Ryan McNeil Lamswood,Ty Dilello,,
100107,Doyon,"val d'Or, QC",Vincent Raymond,Serge St-Germain,Sonny Melancon,Ghislain Doyon,,
192089,Dropkin,"Duluth, MN",Mark Fenner,Andrew Stopera,Thomas Howell,Korey Dropkin,,
195162,Dryburgh,"Morges, SUI",Antoine Bovet,Noe Kuehn,Liam Dryburgh,Nathan Dryburgh,,Stewart Dryburgh
100402,Duhn,"Noranda, QC",Eric Groulx,Allan Lion,Michael Ryan,Luke Duhn,,
100049,Dunbar,"Brandon, MB",Chris Campbell,Kyle Sambrook,Shayne MacGranachan,Cale Dunbar,,
100398,Duncan,"Calgary, AB",Evan Clark,Robert Nelson,Spenser Else,Nolan Duncan,Charles Snider,Brian Duncan
193316,Duncan-Wu,"Victoria, BC",Logan Miron,Ty Russell,Zane Bartlett,Alex Duncan-Wu,,
195273,Dundas,MB,Luke Steski,Jack Steski,Tim Johnson,Hunter Dundas,,
100353,Dunlop,Stonewall CC,Nathan Wright,Matt Dunlop,Kurtis Krowiak,Thomas Dunlop,James Dunlop,
192067,Dunnam,"Philadelphia, PA",Andrew Dunnam,Lance Wheeler,Cody Clouser,Scott Dunnam,,Bruce Clouser
192381,Dunstone,"Winnipeg, MB",Ryan Harnden,E.J. Harnden,Colton Lott,Matt Dunstone,,Caleb Flaxey
100402,East,"Noranda, QC",Alain Macarneau,Eric Tremblay,Robert Gaudet,Ghislain East,,
192416,Edin,"Karlstad, SWE",Christoffer Sundgren,Rasmus Wrana,Oskar Eriksson,Niklas Edin,,
100156,Elie,"Gatineau, QC",Stephane Brabant,Brad Fitzherbert,Daniel Bedard,Dan Elie,,
100112,Elmaleh,"Levis, QC",David Boivin,Sebastien Audet,Antoine Provencher,Maxime Elmaleh,,
192382,Epping,"Sudbury, NO",Ian McMillan,Tanner Horgan,Jake Horgan,John Epping,,
100201,Ezsol,"Budapest, HUN",Tamas Szabad,Gyorgy Deak,Gabor Ezsol,Balazs Foti,Balazus Varga,
100127,Fedak,"Regina, SK",Nathan Zuchkan,Kaden Fedak,Brandon Zuravloff,Garret Fedak,Josh Mayor,
